original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"Frame_54.svg","raw_fragment","211","13205113ddbf3be86d59c08431c49a62491e9cbf59fb3a24494dd86762468518","true","Frame_10.svg","raw_fragment__frame_54.svg"
"Frame_6.svg","raw_fragment","597","9be4553da5a634321511f16567e4ad2cc83509198ca59e1cd6901a1569627b83","false","Frame_6.svg","raw_fragment__frame_6.svg"
"Frame_7.svg","raw_fragment","1096","121d767a87216ff7c60a2745ce40a4c2793a4f1493ec233e5787ef66f1853f2d","false","Frame_7.svg","raw_fragment__frame_7.svg"
"Frame_8.svg","raw_fragment","224","ae9e469c896bac0aaa6d1eea77fed84ebb1079a6ed44c045268382d1f2fb5b4d","false","Frame_8.svg","raw_fragment__frame_8.svg"
"Frame_9.svg","raw_fragment","226","1955969ddf577acf33ad69e92f65b4d31fe9187fd59dc538f8eb0ada9f74612d","false","Frame_9.svg","raw_fragment__frame_9.svg"
"Frame.svg","raw_fragment","1974","1cfa76b46ae5eb01339c6681f871839972482f3c3ead5126a44e1d92e5c66166","true","Frame_17.svg","raw_fragment__frame.svg"
"Group_1171276292.svg","raw_fragment","240","3a6ec3085aaf48631465709d82fabcd0505f6a5e134b97a4c4227e8261e03fb4","false","Group_1171276292.svg","raw_fragment__group_1171276292.svg"
"Group_1171276293.svg","raw_fragment","155","b1169de81c2ad8539561da0c83fb345e79879336dce6c13bd414c2a0f7daf392","false","Group_1171276293.svg","raw_fragment__group_1171276293.svg"
"Group_1171276294_2.svg","raw_fragment","155","14b5891d39d1ebafbf129b099405e67e17f3182696d20a40f1d557094f548c72","false","Group_1171276294_2.svg","raw_fragment__group_1171276294_2.svg"
"Group_1171276294.svg","raw_fragment","155","105893809ee9a7e7422164107322719b984b2237311b4900659cd32a61534744","false","Group_1171276294.svg","raw_fragment__group_1171276294.svg"
"Group_1171276295_2.svg","raw_fragment","155","14b5891d39d1ebafbf129b099405e67e17f3182696d20a40f1d557094f548c72","true","Group_1171276294_2.svg","raw_fragment__group_1171276295_2.svg"
"Group_1171276295.svg","raw_fragment","155","105893809ee9a7e7422164107322719b984b2237311b4900659cd32a61534744","true","Group_1171276294.svg","raw_fragment__group_1171276295.svg"
"Group_1171276296_2.svg","raw_fragment","155","14b5891d39d1ebafbf129b099405e67e17f3182696d20a40f1d557094f548c72","true","Group_1171276294_2.svg","raw_fragment__group_1171276296_2.svg"
"Group_1171276296.svg","raw_fragment","155","105893809ee9a7e7422164107322719b984b2237311b4900659cd32a61534744","true","Group_1171276294.svg","raw_fragment__group_1171276296.svg"
"Group_1171276300.svg","raw_fragment","3999","011c2cf2487b353d49eff268d210ecf9c5deb1812b84f5665597febe292ab204","false","Group_1171276300.svg","raw_fragment__group_1171276300.svg"
"Group_1171276304.svg","raw_fragment","4001","14be3226d1c5108a14c4df65bb6436f204fa71df143b3ff88ff482f36d6b1e65","false","Group_1171276304.svg","raw_fragment__group_1171276304.svg"
"Group_1171276305.svg","raw_fragment","3217","cd2e0b906d97562210233cc3d4f8f80e4d6630ab3b17076eba50fa5e3bae9380","false","Group_1171276305.svg","raw_fragment__group_1171276305.svg"
"Group_1171276338_2.svg","raw_fragment","2270","8a8cbd96229307a859fa9e9cd910436d7f16901765fd641ee71df7e1f10c521b","false","Group_1171276338_2.svg","raw_fragment__group_1171276338_2.svg"
"Group_1171276338.svg","raw_fragment","2113","1e00c1828947121c4a45cca434fb287eca93765d668f600deb6d46397836755d","false","Group_1171276338.svg","raw_fragment__group_1171276338.svg"
"Group_1171276340_2.svg","raw_fragment","156","9c3560ec72d5bd161f425523655218ccd75346aa965c27e661c3c16a4530c7e7","false","Group_1171276340_2.svg","raw_fragment__group_1171276340_2.svg"
"Group_1171276340.svg","raw_fragment","156","9c3560ec72d5bd161f425523655218ccd75346aa965c27e661c3c16a4530c7e7","true","Group_1171276340_2.svg","raw_fragment__group_1171276340.svg"
"Group_1171276349.svg","raw_fragment","622","fb6243a80808e0d1281a766114985576342d22b537066c08b802bdef8adfa72a","false","Group_1171276349.svg","raw_fragment__group_1171276349.svg"
"Group_1171276353.svg","raw_fragment","2571","4f29730917a220320ce16a4fbbdd76094afde02c079df1b883a8f3957b7288fa","false","Group_1171276353.svg","raw_fragment__group_1171276353.svg"
"Group_1171276358_2.svg","raw_fragment","485","f9395ca8ce394c988a5320970403b287b4e40bdece8acc02bd87c8f19b297e80","false","Group_1171276358_2.svg","raw_fragment__group_1171276358_2.svg"
"Group_1171276358_3.svg","raw_fragment","1037","b107b6709144afffc5735355490edbd1d0b4615642c1c34505c801b49f532d63","false","Group_1171276358_3.svg","raw_fragment__group_1171276358_3.svg"
